VARIABLE_NAME,VARIABLE,NUM_INSTITUTIONS,EARLIEST_DATE,LATEST_DATE,TOTAL_RECORDS
Common Equity Tier 1 Capital Ratio,RBCT1CER,8866,1984-03-31,2025-03-31,838137
"Memo: Fiduciary Accounts Held in Foreign Offices, Managed Assets
Memo: Number of Managed Fiduciary Accounts Held in Foreign Offices Fiduciary Accounts Held in Foreign Offices, Managed Assets",TMAF,8866,1984-03-31,2025-03-31,838137
Maximum Credit Exposure Asset-Backed Commercial Paper Conduits Sponsored By Bank,ABCXBK,8866,1984-03-31,2025-03-31,838137
"Amount of Noninterest-Bearing Transaction Deposit Accounts Over $250,000",TRNNIAR,8866,1984-03-31,2025-03-31,838137
Loans to Depository Institutions,CRDEP,8866,1984-03-31,2025-03-31,838137
Noninterest-Bearing Deposits in Domestic Offices,DEPNIDOM,8866,1984-03-31,2025-03-31,838137
Net Income Attributable to Bank,NETINCQ,8866,1984-03-31,2025-03-31,838137
Efficiency Ratio,EEFFQR,8866,1984-03-31,2025-03-31,838137
Loans to Depository Institutions,CRDEPR,8866,1984-03-31,2025-03-31,838137
Income Before Extraordinary Items,IBEFXTR,8866,1984-03-31,2025-03-31,838137
Loans To Depository Institutions in Nonaccrual Status,NADEP,8866,1984-03-31,2025-03-31,838137
Hybrid Life insurance Assets,OALIFHYB,8866,1984-03-31,2025-03-31,838137
Cash & Balances Due from Depository Institutions Foreign Offices,CHBALFOR,8866,1984-03-31,2025-03-31,838137
"Debt Securities and Other Assets, Past Due 30 - 89 Days",P3SCDEBT,8866,1984-03-31,2025-03-31,838137
Mortgage Servicing Assets,INTANMSRR,8866,1984-03-31,2025-03-31,838137
Loans To Depository Institutions in Nonaccrual Status,NADEPR,8866,1984-03-31,2025-03-31,838137
Deposits held in foreign offices,DEPFORR,8866,1984-03-31,2025-03-31,838137
Insurance Underwriting Income,IINSUNDR,8866,1984-03-31,2025-03-31,838137
Plus Unearned Income,UNINCFORR,8866,1984-03-31,2025-03-31,838137
Net Loans and Leases to Deposits,LNLSDEPR,8866,1984-03-31,2025-03-31,838137
Maximum Credit Exposure Asset-Backed Commercial Paper Conduits Sponsored By Unrelated Institutions,ABCXOTH,8866,1984-03-31,2025-03-31,838137
"Time Deposits of < $100,000: 3 - 12 Months",CD3T12SR,8866,1984-03-31,2025-03-31,838137
Loan Loss Allowance Included in Tier 2 Capital,RB2LNRESR,8866,1984-03-31,2025-03-31,838137
Long-Term Assets (5+ Years),ASSTLT,8866,1984-03-31,2025-03-31,838137
Return on Assets,ROA,8866,1984-03-31,2025-03-31,838137
Pretax Return on Assets,ROAPTX,8866,1984-03-31,2025-03-31,838137
Fully Insured Brokered Deposits,BROINS,8866,1984-03-31,2025-03-31,838137
Loans to Depository Institutions,NTDEPR,8866,1984-03-31,2025-03-31,838137
Estimated Assessable Deposits,DEPCSBQR,8866,1984-03-31,2025-03-31,838137
Deposits held in domestic offices,DEPDOM,8866,1984-03-31,2025-03-31,838137
