BANK_NAME,STATE,VARIABLE_NAME,VALUE,UNIT,DATE
1NB Bank,IL,Total Assets,293354000.00000000000,USD,2025-03-31
1st Advantage Bank,MO,Total Assets,182343000.00000000000,USD,2025-03-31
1st Bank Yuma,AZ,Total Assets,619270000.00000000000,USD,2025-03-31
1st Bank in Hominy,OK,Total Assets,42577000.00000000000,USD,2025-03-31
1st Bank of Sea Isle City,NJ,Total Assets,310633000.00000000000,USD,2025-03-31
1st Colonial Community Bank,NJ,Total Assets,867569000.00000000000,USD,2025-03-31
1st Community Bank,IL,Total Assets,67162000.00000000000,USD,2025-03-31
1st Equity Bank,IL,Total Assets,122102000.00000000000,USD,2025-03-31
"1st Federal Savings Bank of SC, Inc.",SC,Total Assets,152704000.00000000000,USD,2025-03-31
1st Financial Bank USA,SD,Total Assets,1344372000.00000000000,USD,2025-03-31
1st National Bank,OH,Total Assets,276453000.00000000000,USD,2025-03-31
1st Security Bank of Washington,WA,Total Assets,3066005000.00000000000,USD,2025-03-31
1st Source Bank,IN,Total Assets,8959893000.00000000000,USD,2025-03-31
1st State Bank,MI,Total Assets,449175000.00000000000,USD,2025-03-31
1st Summit Bank,PA,Total Assets,1425901000.00000000000,USD,2025-03-31
"1st Trust Bank, Inc.",KY,Total Assets,319281000.00000000000,USD,2025-03-31
21st Century Bank,MN,Total Assets,820381000.00000000000,USD,2025-03-31
22nd State Bank,AL,Total Assets,328059000.00000000000,USD,2025-03-31
42 North Private Bank,MA,Total Assets,211207000.00000000000,USD,2025-03-31
5Star Bank,CO,Total Assets,372754000.00000000000,USD,2025-03-31
AB&T,GA,Total Assets,271973000.00000000000,USD,2025-03-31
ACB Bank,OK,Total Assets,133983000.00000000000,USD,2025-03-31
ACNB Bank,PA,Total Assets,3252111000.00000000000,USD,2025-03-31
AMG National Trust Bank,CO,Total Assets,732314000.00000000000,USD,2025-03-31
ANB Bank,CO,Total Assets,2948781000.00000000000,USD,2025-03-31
AVB Bank,OK,Total Assets,517377000.00000000000,USD,2025-03-31
Abacus Federal Savings Bank,NY,Total Assets,325440000.00000000000,USD,2025-03-31
Abbeville Building & Loan (A State-Chartered Savings Bank),LA,Total Assets,64542000.00000000000,USD,2025-03-31
"Abbeville First Bank, SSB",SC,Total Assets,134158000.00000000000,USD,2025-03-31
AbbyBank,WI,Total Assets,647131000.00000000000,USD,2025-03-31
"Academy Bank, National Association",MO,Total Assets,2938382000.00000000000,USD,2025-03-31
Access Bank,NE,Total Assets,966272000.00000000000,USD,2025-03-31
Adams Bank & Trust,NE,Total Assets,1344993000.00000000000,USD,2025-03-31
Adams Community Bank,MA,Total Assets,1046097000.00000000000,USD,2025-03-31
Adams County Bank,NE,Total Assets,241072000.00000000000,USD,2025-03-31
Adams State Bank,NE,Total Assets,73220000.00000000000,USD,2025-03-31
Adelphi Bank,OH,Total Assets,77743000.00000000000,USD,2025-03-31
Adirondack Bank,NY,Total Assets,994373000.00000000000,USD,2025-03-31
Adrian Bank,MO,Total Assets,179900000.00000000000,USD,2025-03-31
Adrian State Bank,MN,Total Assets,59604000.00000000000,USD,2025-03-31
"Affinity Bank, National Association",GA,Total Assets,911705000.00000000000,USD,2025-03-31
"Agility Bank, National Association",TX,Total Assets,126417000.00000000000,USD,2025-03-31
Alamerica Bank,AL,Total Assets,18839000.00000000000,USD,2025-03-31
Alamosa State Bank,CO,Total Assets,323882000.00000000000,USD,2025-03-31
Albany Bank and Trust Company National Association,IL,Total Assets,705645000.00000000000,USD,2025-03-31
Alden State Bank,MI,Total Assets,319231000.00000000000,USD,2025-03-31
Alden State Bank,NY,Total Assets,441120000.00000000000,USD,2025-03-31
"Alerus Financial, National Association",ND,Total Assets,5326806000.00000000000,USD,2025-03-31
All America Bank,OK,Total Assets,612798000.00000000000,USD,2025-03-31
All Capital Bank,OK,Total Assets,118675000.00000000000,USD,2025-03-31
AllNations Bank,OK,Total Assets,73488000.00000000000,USD,2025-03-31
Alliance Bank,IN,Total Assets,437022000.00000000000,USD,2025-03-31
Alliance Bank,MN,Total Assets,777232000.00000000000,USD,2025-03-31
Alliance Bank,TX,Total Assets,1387814000.00000000000,USD,2025-03-31
Alliance Bank,MO,Total Assets,371931000.00000000000,USD,2025-03-31
Alliance Bank,WI,Total Assets,232426000.00000000000,USD,2025-03-31
Alliance Bank Central Texas,TX,Total Assets,987853000.00000000000,USD,2025-03-31
Alliance Community Bank,IL,Total Assets,411973000.00000000000,USD,2025-03-31
Alliant Bank,MO,Total Assets,249481000.00000000000,USD,2025-03-31
Ally Bank,UT,Total Assets,182323000000.00000000000,USD,2025-03-31
Alma Bank,NY,Total Assets,1500290000.00000000000,USD,2025-03-31
Alpine Bank,CO,Total Assets,6661051000.00000000000,USD,2025-03-31
Alpine Capital Bank,NY,Total Assets,215662000.00000000000,USD,2025-03-31
Altamaha Bank & Trust Company,GA,Total Assets,328803000.00000000000,USD,2025-03-31
Alton Bank,MO,Total Assets,134723000.00000000000,USD,2025-03-31
Altoona First Savings Bank,PA,Total Assets,321587000.00000000000,USD,2025-03-31
Altos Bank,CA,Total Assets,28563000.00000000000,USD,2025-03-31
Alva State Bank & Trust Company,OK,Total Assets,565254000.00000000000,USD,2025-03-31
Amalgamated Bank,NY,Total Assets,8289862000.00000000000,USD,2025-03-31
Amalgamated Bank of Chicago,IL,Total Assets,1186570000.00000000000,USD,2025-03-31
Amarillo National Bank,TX,Total Assets,9743947000.00000000000,USD,2025-03-31
Ambler Savings Bank,PA,Total Assets,503575000.00000000000,USD,2025-03-31
Amboy Bank,NJ,Total Assets,2787584000.00000000000,USD,2025-03-31
"Amerant Bank, National Association",FL,Total Assets,10147301000.00000000000,USD,2025-03-31
Amerasia Bank,NY,Total Assets,995918000.00000000000,USD,2025-03-31
AmeriFirst Bank,AL,Total Assets,357497000.00000000000,USD,2025-03-31
America's Community Bank,MO,Total Assets,51723000.00000000000,USD,2025-03-31
American Bank,PA,Total Assets,1005824000.00000000000,USD,2025-03-31
American Bank,LA,Total Assets,327183000.00000000000,USD,2025-03-31
American Bank,MT,Total Assets,663889000.00000000000,USD,2025-03-31
American Bank & Trust,SD,Total Assets,1941027000.00000000000,USD,2025-03-31
American Bank & Trust Company,LA,Total Assets,255468000.00000000000,USD,2025-03-31
"American Bank & Trust Company, Inc.",KY,Total Assets,891906000.00000000000,USD,2025-03-31
American Bank and Trust Company,OK,Total Assets,306591000.00000000000,USD,2025-03-31
"American Bank and Trust Company, National Association",IA,Total Assets,501067000.00000000000,USD,2025-03-31
American Bank of Baxter Springs,KS,Total Assets,191791000.00000000000,USD,2025-03-31
American Bank of Beaver Dam,WI,Total Assets,199663000.00000000000,USD,2025-03-31
American Bank of Commerce,TX,Total Assets,1490531000.00000000000,USD,2025-03-31
American Bank of Freedom,MO,Total Assets,941567000.00000000000,USD,2025-03-31
American Bank of Oklahoma,OK,Total Assets,385461000.00000000000,USD,2025-03-31
American Bank of the Carolinas,NC,Total Assets,192369000.00000000000,USD,2025-03-31
"American Bank, National Association",IA,Total Assets,551879000.00000000000,USD,2025-03-31
"American Bank, National Association",TX,Total Assets,602901000.00000000000,USD,2025-03-31
