FDIC_INSTITUTION_ID,FDIC_BRANCH_ID,VARIABLE,VARIABLE_NAME,DATE,VALUE,UNIT
99,290881,DEPSUMBR,Branch Deposits,2009-06-30,92062,USD
99,440392,DEPSUMBR,Branch Deposits,2007-06-30,6837,USD
2450,12740,DEPSUMBR,Branch Deposits,2005-06-30,45015,USD
1266,10014,DEPSUMBR,Branch Deposits,2005-06-30,13444,USD
99,290881,DEPSUMBR,Branch Deposits,2004-06-30,54661,USD
99,74356,DEPSUMBR,Branch Deposits,2014-06-30,98725,USD
5522,44,DEPSUMBR,Branch Deposits,2022-06-30,70240,USD
5522,76779,DEPSUMBR,Branch Deposits,2013-06-30,39569,USD
5522,577676,DEPSUMBR,Branch Deposits,2023-06-30,158832,USD
4470,358412,DEPSUMBR,Branch Deposits,2010-06-30,24377,USD
5522,76793,DEPSUMBR,Branch Deposits,2008-06-30,86665,USD
5522,44,DEPSUMBR,Branch Deposits,2001-06-30,38470,USD
12105,207824,DEPSUMBR,Branch Deposits,1994-06-30,13787,USD
12105,3779,DEPSUMBR,Branch Deposits,2020-06-30,58242,USD
5522,645090,DEPSUMBR,Branch Deposits,2022-06-30,203057,USD
5522,76793,DEPSUMBR,Branch Deposits,2007-06-30,89815,USD
5522,478481,DEPSUMBR,Branch Deposits,2010-06-30,35939,USD
5522,44,DEPSUMBR,Branch Deposits,2019-06-30,56546,USD
5522,445677,DEPSUMBR,Branch Deposits,2020-06-30,158397,USD
4470,358412,DEPSUMBR,Branch Deposits,2008-06-30,22120,USD
