ID_RSSD,ID_RSSD_PARENT,NAME_PARENT,BRANCH_NAME,CATEGORY,IS_ACTIVE,START_DATE,END_DATE,ADDRESS,ADDRESS_LINE2,CITY,STATE_ABBREVIATION,ZIP_CODE,ID_COUNTRY,ID_STATE,ID_COUNTY,ID_ZIP
3275274,817824,"PNC BANK, NATIONAL ASSOCIATION",TEMPLE - MARLANDWOOD,Branch,True,2004-05-03,,1004 MARLANDWOOD ROAD,,TEMPLE,TX,76502,country/USA,geoId/48,geoId/48027,zip/76502
958802,202907,"COMMUNITY BANK, NATIONAL ASSOCIATION",BOICEVILLE BRANCH,Branch,False,1986-04-26,2025-08-09,4141 STATE ROUTE 28,,BOICEVILLE,NY,12412,country/USA,geoId/36,geoId/36111,zip/12412
6072223,723112,"FIFTH THIRD BANK, NATIONAL ASSOCIATION",CITATION POINTE BC,Branch,True,2025-08-06,,2365 REMINGTON DRIVE,,LEXINGTON,KY,40511,country/USA,geoId/21,geoId/21067,zip/40511
4168971,174572,COLUMBIA BANK,HAWTHORNE BRANCH,Branch,True,2008-06-30,,496 LAFAYETTE AVENUE,,HAWTHORNE,NJ,07506,country/USA,geoId/34,geoId/34031,zip/07506
6031444,474919,"FULTON BANK, NATIONAL ASSOCIATION",DOWNTOWN COLUMBIA DRIVE-UP ONLY,Branch,True,2019-09-16,,10520 LITTLE PATUXENT PARKWAY,,COLUMBIA,MD,21044,country/USA,geoId/24,geoId/24027,zip/21044
3554616,497404,"TD BANK, NATIONAL ASSOCIATION",CORONA BRANCH,Branch,True,2007-01-02,,94-15 NORTHERN BOULEVARD,,JACKSON HEIGHTS,NY,11372,country/USA,geoId/36,geoId/36081,zip/11372
3283608,497404,"TD BANK, NATIONAL ASSOCIATION",GREER BRANCH,Branch,True,2003-09-08,,516 WEST WADE HAMPTON BOULEVARD,,GREER,SC,29650,country/USA,geoId/45,geoId/45045,zip/29650
1917507,328777,PENN COMMUNITY BANK,DUBLIN BRANCH,Branch,True,1991-06-08,,142 NORTH MAIN STREET,,DUBLIN,PA,18917,country/USA,geoId/42,geoId/42017,zip/18917
5958683,465618,"HONESDALE NATIONAL BANK, THE",MOSCOW BRANCH,Branch,True,2024-07-29,,203 NORTH MAIN STREET,,MOSCOW,PA,18444,country/USA,geoId/42,geoId/42069,zip/18444
1415067,677176,TRUSTCO BANK,CAMPBELL ROAD BRANCH,Branch,True,1989-03-20,,141 WEST CAMPBELL ROAD,,SCHENECTADY,NY,12306,country/USA,geoId/36,geoId/36093,zip/12306
3288461,474919,"FULTON BANK, NATIONAL ASSOCIATION",FAIRGROUNDS PLAZA BRANCH,Branch,True,2000-01-21,,67 WEST AYLESBURY ROAD,,LUTHERVILLE TIMONIUM,MD,21093,country/USA,geoId/24,geoId/24005,zip/21093
852870,805876,Cresson Community Bank,Cresson Community Bank,Branch,True,1919-01-01,,700 SECOND STREET,,CRESSON,PA,16630,country/USA,geoId/42,geoId/42021,zip/16630
3956582,3068579,EMBASSY BANK FOR THE LEHIGH VALLEY,CEDAR CREST BRANCH,Branch,True,2009-07-20,,1142 SOUTH CEDAR CREST BOULVEVARD,,ALLENTOWN,PA,181037901,country/USA,geoId/42,geoId/42077,
1885905,497404,"TD BANK, NATIONAL ASSOCIATION",HILTON HEAD MAIN BRANCH,Branch,True,1991-09-03,,62 NEW ORLEANS ROAD,,HILTON HEAD ISLAND,SC,29928,country/USA,geoId/45,geoId/45013,zip/29928
2511386,354310,Suburban Community Bank,Suburban Community Bank,Branch,True,1996-11-07,,195 EAST BUTLER AVENUE,,CHALFONT,PA,18914,country/USA,geoId/42,geoId/42017,zip/18914
5617823,354310,UNIVEST BANK AND TRUST CO.,DOYLESTOWN BRANCH,Branch,True,2021-06-28,,1980 SOUTH EASTON ROAD,,DOYLESTOWN,PA,18901,country/USA,geoId/42,geoId/42017,zip/18901
3202010,606046,CADENCE BANK,WHITNEY BRANCH,Branch,True,2003-06-24,,303 SOUTH BOSQUE STREET,,WHITNEY,TX,76692,country/USA,geoId/48,geoId/48217,zip/76692
2875417,474919,"FULTON BANK, NATIONAL ASSOCIATION",KENNEDY BLVD BRANCH,Branch,True,2000-01-04,,205 EAST KENNEDY BOULEVARD,,LAKEWOOD,NJ,08701,country/USA,geoId/34,geoId/34029,zip/08701
913315,852713,QNB BANK,COUNTRY SQUARE OFFICE,Branch,True,1974-11-04,,240 SOUTH WEST END BOULEVARD,,QUAKERTOWN,PA,18951,country/USA,geoId/42,geoId/42017,zip/18951
2754389,557317,LINKBANK,LINKBANK,Branch,True,1999-02-26,,32 WEST MARKET STREET,,GRATZ,PA,17030,country/USA,geoId/42,geoId/42043,zip/17030
