VARIABLE,VARIABLE_NAME,DEFINITION,FREQUENCY,UNIT
EQUP,Undivided Profits,"Retained earnings from bank operations, net unrealized holding gains (losses) on available-for-sale securities, and cumulative foreign currency translation adjustments.",Quarterly,Percent
PPPLFOV1,Outstanding balance under the PPPLF with a remaining maturity of more than one year,"The outstanding amount as of the report date of borrowings by the reporting institution from a Federal Reserve Bank under the PPPLF with a remaining maturity of more than one year. The remaining maturity is the amount of time remaining from the report date until the final contractual maturity of the borrowing without regard to the borrowing’s repayment schedule, if any. the borrowings included in this item also have also been included in line items that correspond on supplemental reports related to the repricing for other borrowings and secured other borrowings (ffiec call schedule rc-m item 5b. and 10.b) Data begins on June 30, 2020.",YTD,USD
NTGLFXAQR,Net Gains (Losses) on Sales of Other Assets (Excluding Securities),"Reported net gains or (losses) on sales or other disposal of other assets (e.g. premises and fixed assets, personal property acquired for debts previously contracted (such as automobiles, boats, equipment, and appliances); and coins, art, and other similar assets. Prior to March 2001 this was reported as a memoranda item only and was included in all other noninterest income. Also, prior to March 2001, gains and losses on sale of premises and fixed assets were reported as either noninterest income or noninterest expense. Calculated as NTGLFXAQ / ASSET2",Quarterly,Percent
NTRERESR,1-4 Family Residential,Net charged-off all loans secured by 1-4 family residential properties (annualized) as a percent of average total loans secured by 1-4 family residential properties. Calculated as NTRERESA / LNRERES5,YTD,Percent
SCO3YLESR,Other Mortgage-Backed Securities Expected Average Life: Three Years Or Less,"Other mortgage-backed securities (CMOs, REMICs, and stripped MBS) with an expected average life of three years or less. This includes both fixed rate and floating rate securities. Held-to-maturity securities are reported at amortized cost. Available-for-sale securities are reported at fair value. This excludes all mortgage pass-through securities and securities that are in nonaccrual status. This item is not available for TFR Reporters.TFR reports ended December 2011. Calculated as SCO3YLES / ASSET",YTD,Percent
SZDRCIR,"Charge-offs, C&I Loans Securitized by Bank","Commercial & Industrial Loans
Charge-Offs On Assets Sold And Securitized With Servicing
Retained Or With Recourse Or Other Seller-Provided Credit
Enhancements (Calendar Year-To-Date) - Commercial & Industrial Loans. Calculated as SZDRCI / ASSET",YTD,Percent
P9CI,"Commercial and Industrial Loans, Past Due 90+ Days",Total commercial and industrial loans past due 90 or more days and still accruing interest which are held in domestic offices of the institution. Institutions with assets of less than $300 million include all other loans in this item.,YTD,USD
LNLSNTV,Net Loans and Leases to Assets,"Loan and lease financing receivables, net of unearned income, allowances, and reserves, as a percent of total assets.",YTD,Percent
LNRENR1NR,"Number with Original Amounts of $100,000 or Less","Number of individual loans secured by nonfarm nonresidential properties with original amounts of $100,000 or less held in domestic offices. note: (1) institutions report only those loans having original amounts of less than $1,000,000 (large institutions might have these types of loans but not within this size range) (2) Available on a quarterly basis as of 2010. Prior to 2010, reported as of June 30th only. Calculated as LNRENR1N / ASSET",YTD,Percent
NARERSF2R,Nonaccrual Loans Secured By 1-4 Family Junior Liens,Closed-end loans secured by junior liens on 1-4 family residential properties that are held in domestic office and are past due and no longer accruing interest. Calculated as NARERSF2 / ASSET,YTD,Percent
LNCI1N,"Number with Original Amounts of $100,000 or Less","Number of individual commercial and industrial loans with original amounts of $100,000 or less held in domestic offices. note: (1) institutions report only those loans having original amounts of less than $1,000,000 (large institutions might have these types of loans but not within this size range) (2) Available on a quarterly basis as of 2010. Prior to 2010, reported as of June 30th only.",YTD,USD
