ID_RSSD,NAME,CATEGORY,IS_ACTIVE,ADDRESS,CITY,STATE_ABBREVIATION,ZIP_CODE,URL,START_DATE,END_DATE,CHARTERING_AUTHORITY,CHARTER_TYPE,FEDERAL_REGULATOR,ENTITY_TYPE,INSURER,FDIC_CERT,OCC_ID,THRIFT_ID,ID_COUNTRY,ID_STATE,ID_COUNTY,ID_ZIP,LEGAL_ENTITY_IDENTIFIER,EMPLOYER_IDENTIFICATION_NUMBER,REASON_FOR_ENTITY_TERMINATION,INTERNATIONAL_BANKING_FACILITY,NAICS_CODE,MAJORITY_OWNED_BY_MINORITY_OR_WOMEN,SPECIALIZATION_GROUP
86675,Rosedale Federal Savings and Loan Association,Bank,True,9616 Belair Rd,Nottingham,MD,21236,www.rosedalefederal.com,1908-01-01,,Federal,Savings & Loan Association,OCC,Savings & Loan Association,DIF,29613,703758.0,03758,country/USA,geoId/24,geoId/24005,zip/21236,549300YHPEPV6KF30T16,520465075,,False,52218,,Commercial Lending Specialization
342634,Trustmark National Bank,Bank,True,248 E Capitol St,Jackson,MS,39201,http://www.trustmark.com,1889-12-19,,State,Commercial Bank,OCC,State Member Bank,DIF,4988,,15770,country/USA,geoId/28,geoId/28049,zip/39201,01J4SO3XTWZF4PP38209,640180810,,False,52211,,Commercial Lending Specialization
689357,Northeast Bank,Bank,True,77 Broadway St Ne,Minneapolis,MN,55413,www.nebankmn.com,1848-01-03,,State,Commercial Bank,FDIC,Non-member Bank,DIF,16659,,,country/USA,geoId/27,geoId/27053,zip/55413,5493001FOLPDJ44AZD23,410663145,,False,52211,,Commercial Lending Specialization
709956,Oklahoma Heritage Bank,Bank,True,515 S Hickory,Roff,OK,74865,www.okheritage.com,1979-05-07,,State,Commercial Bank,FDIC,Non-member Bank,DIF,22855,,,country/USA,geoId/40,geoId/40123,zip/74865,,,,False,52211,,Commercial Lending Specialization
522753,MCBank,Bank,True,1017 Parker St,Goldthwaite,TX,76844,www.mc.bank,1908-11-24,,State,Commercial Bank,FDIC,Non-member Bank,DIF,15669,,,country/USA,geoId/48,geoId/48333,zip/76844,,750619470,,False,52211,,Commercial Lending Specialization
3690121,Liberty Capital Bank,Bank,True,5055 Keller Springs Rd,Addison,TX,75001,libertycapital.bank,2008-09-15,,State,Commercial Bank,FDIC,Non-member Bank,DIF,58852,,,country/USA,geoId/48,geoId/48113,zip/75001,,263259669,,False,52211,,Commercial Lending Specialization
473042,"South Central Bank,  Inc.",Bank,True,208 S Broadway St,Glasgow,KY,42141,www.southcentralbank.com,1908-01-01,,State,Commercial Bank,FDIC,Non-member Bank,DIF,5854,,,country/USA,geoId/21,geoId/21009,zip/42141,549300LPT41QBMAC7948,610126170,,False,52211,,Commercial Lending Specialization
965789,Susser Bank,Bank,True,4020 Maple Ave,Dallas,TX,75219,www.susserbank.com/,1959-01-01,,State,Commercial Bank,FED,State Member Bank,DIF,34885,,,country/USA,geoId/48,geoId/48113,zip/75219,549300KST6N97GYH0O45,751630026,,False,52211,,Commercial Lending Specialization
429021,The Queenstown Bank of Maryland,Bank,True,7101 Main St,Queenstown,MD,21658,wwww.queenstownbank.com,1899-01-01,,State,Commercial Bank,FDIC,Non-member Bank,DIF,8816,,,country/USA,geoId/24,geoId/24035,zip/21658,549300MPX7PJGFD8HA09,520453270,,False,52211,,Commercial Lending Specialization
2769954,North Georgia National Bank,Bank,True,350 W Belmont Dr,Calhoun,GA,30701,www.ngnb.bank,1999-02-10,,Federal,Commercial Bank,OCC,National Bank,DIF,34662,23547.0,16652,country/USA,geoId/13,geoId/13129,zip/30701,,582404872,,False,52211,,Commercial Lending Specialization
980960,Benchmark Bank,Bank,True,5700 Legacy Dr Ste 10,Plano,TX,75024,www.benchmark.com,1964-08-29,,State,Commercial Bank,FED,State Member Bank,DIF,19215,,,country/USA,geoId/48,geoId/48085,zip/75024,549300FF2P6I0N4FHD29,751163748,,False,52211,,Commercial Lending Specialization
183770,Mechanics Cooperative Bank,Bank,True,316 Broadway,Taunton,MA,02780,www.mechanics.bank,1877-01-01,,State,Cooperative Bank,FDIC,Cooperative Bank,DIF,26634,,,country/USA,geoId/25,geoId/25005,zip/02780,549300BOX0L2YKKXKO38,041608620,,False,52211,,Commercial Lending Specialization
3614976,FVCbank,Bank,True,11325 Random Hills Rd,Fairfax,VA,22030,https://www.fvcbank.com,2007-11-27,,State,Commercial Bank,FED,State Member Bank,DIF,58696,,,country/USA,geoId/51,geoId/51059,zip/22030,549300MSW6NY44KG3397,020794839,,False,52211,,Commercial Lending Specialization
128258,Western Dakota Bank,Bank,True,803 Main Street,Timber Lake,SD,57656,www.westerndakotabank.com,1919-01-01,,State,Commercial Bank,FDIC,Non-member Bank,DIF,492,,,country/USA,geoId/46,geoId/46041,zip/57656,,460127070,,False,52211,,Agricultural Specialization
695947,Eagle Valley Bank,Bank,True,108 W Quincy St,Griggsville,IL,62340,www.eaglevalley.bank,1893-08-03,,State,Commercial Bank,FDIC,Non-member Bank,DIF,10883,,,country/USA,geoId/17,geoId/17149,zip/62340,,370165380,,False,52211,,Agricultural Specialization
865852,Farmers State Bank of Underwood,Bank,True,110 Main St S,Underwood,MN,56586,www.farmerstbank.com,1915-12-01,,State,Commercial Bank,FDIC,Non-member Bank,DIF,10174,,,country/USA,geoId/27,geoId/27111,zip/56586,,410250570,,False,52211,,Commercial Lending Specialization
34537,Seacoast National Bank,Bank,True,815 S Colorado Ave,Stuart,FL,34994,www.seacoastbank.com,1940-03-12,,Federal,Commercial Bank,OCC,National Bank,DIF,131,14838.0,15273,country/USA,geoId/12,geoId/12085,zip/34994,5493006MCOP60BBI4G97,590193820,,False,52211,,Commercial Lending Specialization
593771,"Liberty Bank, Inc.",Bank,True,79 S Main St,Salt Lake Cty,UT,84111,www.libertybankofutah.com,1956-11-05,,State,Commercial Bank,FDIC,Non-member Bank,DIF,26816,,,country/USA,geoId/49,geoId/49035,zip/84111,,,,False,52211,,Other Specialized Under 1 Billion
411624,Somerville Bank,Bank,True,601 Hillcrest Dr,Eaton,OH,45320,www.somervilebank.net,1910-10-10,,State,Commercial Bank,FDIC,Non-member Bank,DIF,6700,,,country/USA,geoId/39,geoId/39135,zip/45320,549300FHRL270LZY2I23,310449766,,False,52211,,Commercial Lending Specialization
164957,"Concordia Bank of Concordia, Missouri",Bank,True,547 S Main St,Concordia,MO,64020,www.concordia-bank.com,1932-01-01,,State,Commercial Bank,FDIC,Non-member Bank,DIF,13788,,,country/USA,geoId/29,geoId/29107,zip/64020,,440207930,,False,52211,,Commercial Lending Specialization
